GeneMark.hmm PROKARYOTIC (Version 3.4.4)
Date: Sun Jan 24 18:35:29 2016
Sequence file name: /storage2/gena/GMS2/new/benchmark/Escherichia_coli_K_12_substr__MG1655_uid57779/GMS2_auto/../NC_000913.fna
Model file name: itr_6.mod
RBS: false
Model information: GeneMarkS_gcode_11

FASTA definition line: gi|556503834|ref|NC_000913.3| Escherichia coli str. K-12 substr. MG1655, complete genome
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
 1	+	337	2799	2463	1
 2	+	2801	3733	933	1
 3	+	3734	5020	1287	1
 4	+	5234	5530	297	1
 5	-	5683	6459	777	1
 6	-	6529	7959	1431	1
 7	+	8238	9191	954	1
 8	+	9306	9893	588	1
 9	-	9928	10494	567	1
 10	-	10643	11356	714	1
 11	-	11382	11786	405	1
 12	+	12163	14079	1917	1
 13	+	14168	15298	1131	1
 14	+	15445	16557	1113	1
 15	-	16751	16903	153	1
 16	+	17489	18655	1167	1
 17	+	18721	19620	900	1
 18	-	19811	20188	378	1
 19	-	20233	20508	276	1
 20	-	20815	21078	264	1
 21	+	21461	22348	888	1
 22	+	22391	25207	2817	1
 23	+	25207	25701	495	1
 24	+	25826	26275	450	1
 25	+	26277	27227	951	1
 26	+	27293	28207	915	1
 27	+	28374	29195	822	1
 28	+	29651	30799	1149	1
 29	+	30817	34038	3222	1
 30	+	34300	34695	396	1
 31	-	34781	35371	591	1
 32	-	35377	36162	786	1
 33	-	36271	37824	1554	1
 34	-	37898	39115	1218	1
 35	-	39244	40386	1143	1
 36	-	40417	41931	1515	1
 37	+	42403	43173	771	1
 38	+	43188	44129	942	1
 39	+	44180	45466	1287	1
 40	+	45463	45750	288	1
 41	+	45807	47138	1332	1
 42	+	47246	47776	531	1
 43	+	47769	49631	1863	1
 44	+	49712	50302	591	1
 45	-	50380	51222	843	1
 46	-	51229	51606	378	1
 47	-	51609	52430	822	1
 48	-	52427	53416	990	1
 49	-	53416	54702	1287	1
 50	-	54755	57109	2355	1
 51	+	57364	58179	816	1
 52	+	58474	59124	651	2
 53	+	59121	59279	159	2
 54	-	59687	60346	660	1
 55	-	60358	63264	2907	1
 56	-	63429	65780	2352	1
 57	-	65855	66550	696	1
 58	-	66835	68337	1503	1
 59	-	68348	70048	1701	1
 60	+	70378	71265	888	1
 61	+	71351	72115	765	1
 62	-	72229	72927	699	1
 63	-	72911	74521	1611	1
 64	-	74497	75480	984	1
 65	-	75644	77299	1656	1
 66	+	77388	77519	132	1
 67	+	77621	78799	1179	1
 68	-	78848	79453	606	1
 69	-	79464	80864	1401	1
 70	-	80867	81958	1092	1
 71	-	81958	83529	1572	1
 72	+	84368	85312	945	1
 73	+	85630	87354	1725	1
 74	+	87327	87848	522	1
 75	+	88028	89032	1005	1
 76	+	89634	90092	459	1
 77	+	90094	91035	942	1
 78	+	91032	91397	366	1
 79	+	91413	93179	1767	1
 80	+	93166	94653	1488	1
 81	+	94650	96008	1359	1
 82	+	96002	97084	1083	1
 83	+	97087	98403	1317	1
 84	+	98403	99647	1245	1
 85	+	99644	100711	1068	1
 86	+	100765	102240	1476	1
 87	+	102233	103153	921	1
 88	+	103155	103985	831	1
 89	+	103982	105244	1263	1
 90	+	105305	106456	1152	1
 91	+	106557	107474	918	1
 92	+	107705	108217	513	1
 93	+	108279	110984	2706	1
 94	+	111044	111433	390	1
 95	-	111649	111846	198	1
 96	-	111856	112599	744	1
 97	-	112599	113219	621	1
 98	+	113444	114487	1044	1
 99	-	114522	115724	1203	1
 100	-	115714	117099	1386	1
 101	-	117109	117549	441	1
 102	-	117752	118645	894	1
 103	+	118733	119284	552	1
 104	+	119281	120135	855	1
 105	-	120178	121548	1371	1
 106	+	122092	122856	765	1
